,regions
228,"Primary visual cortex, binocular area, layer6b"
229,Cingulate cortex
230,"Cingulate cortex, area 24b "
231,"Cingulate cortex, area 24b, layer1"
232,"Cingulate cortex, area 24b, layer2/3"
233,"Cingulate cortex, area 24b, layer5"
234,"Cingulate cortex, area 24b, layer6a"
235,"Cingulate cortex, area 24b, layer6b"
236,"Cingulate cortex, area 24b2"
237,"Cingulate cortex, area 24b2, layer1"
238,"Cingulate cortex, area 24b2, layer2/3"
239,"Cingulate cortex, area 24b2, layer5"
240,"Cingulate cortex, area 24b2, layer6a"
241,"Cingulate cortex, area 24b2, layer6b"
242,"Cingulate cortex, area 24a2"
243,"Cingulate cortex, area 24a2, layer1"
244,"Cingulate cortex, area 24a2, layer2/3"
245,"Cingulate cortex, area 24a2, layer5"
246,"Cingulate cortex, area 24a2, layer6a"
247,"Cingulate cortex, area 24a2, layer6b"
248,"Cingulate cortex, area 32 (Prelimbic cortex)"
249,"Cingulate cortex, area 32 (Prelimbic cortex), layer1"
250,"Cingulate cortex, area 32 (Prelimbic cortex), layer2"
251,"Cingulate cortex, area 32 (Prelimbic cortex), layer2/3"
252,"Cingulate cortex, area 32 (Prelimbic cortex), layer5"
253,"Cingulate cortex, area 32 (Prelimbic cortex), layer6a"
254,"Cingulate cortex, area 32 (Prelimbic cortex), layer6b"
255,Orbital cortex
256,Lateral orbital cortex
257,"Lateral orbital cortex, layer1"
258,"Lateral orbital cortex, layer2/3"
259,"Lateral orbital cortex, layer5"
260,"Lateral orbital cortex, layer6a"
261,"Lateral orbital cortex, layer6b"
262,Medial orbital cortex
263,"Medial orbital cortex, layer1"
264,"Medial orbital cortex, layer2/3"
265,"Medial orbital cortex, layer5"
266,"Medial orbital cortex, layer6a"
267,"Medial orbital cortex, layer6b"
268,Ventral orbital cortex
269,"Orbital cortex, ventral part, layer 1"
270,"Orbital cortex, ventral part, layer 2/3"
271,"Orbital cortex, ventral part, layer 5"
272,"Orbital cortex, ventral part, layer 6a"
273,"Orbital cortex, ventral part, layer 6b"
280,Agranular insular cortex
281,"Agranular insular cortex, layer 1"
282,"Agranular insular cortex, layer 2/3"
283,"Agranular insular cortex, layer 5"
284,"Agranular insular cortex, dorsal part"
285,"Agranular insular cortex, dorsal part, layer1"
286,"Agranular insular cortex, dorsal part, layer2/3"
287,"Agranular insular cortex, dorsal part, layer5"
288,"Agranular insular cortex, dorsal part, layer6a"
289,"Agranular insular cortex, dorsal part, layer6b"
290,Dorsolateral orbital cortex
291,"Dorsolateral orbital cortex, layer 1"
292,"Dorsolateral orbital cortex, layer 2/3"
293,Dorsolateral orbital cortex layer 5
294,Dorsolateral orbital cortex layer 6a
295,Dorsolateral orbital cortex layer 6b
296,"Agranular insular cortex, posterior part"
297,"Agranular insular cortex, posterior part, layer1"
298,"Agranular insular cortex, posterior part, layer2/3"
299,"Agranular insular cortex, posterior part, layer5"
300,"Agranular insular cortex, posterior part, layer6a"
301,"Agranular insular cortex, posterior part, layer6b"
302,"Agranular insular cortex, ventral part"
303,"Agranular insular cortex, ventral part, layer1"
304,"Agranular insular cortex, ventral part, layer2/3"
305,"Agranular insular cortex, ventral part, layer5"
306,"Agranular insular cortex, ventral part, layer6a"
307,"Agranular insular cortex, ventral part, layer6b"
308,"Cingulate cortex, area 29 and 30 (retrosplenial cortex)"
315,"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex)"
316,"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer1"
317,"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer2/3"
318,"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer4"
319,"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer5"
320,"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer6a"
321,"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer6b"
322,"Cingulate cortex, area 29 (Retrosplenial granular cortex)"
323,"Cingulate cortex, area 29c (Retrosplenial granular cortex c)"
324,"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer1"
325,"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer2"
326,"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer2/3"
327,"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer5"
328,"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer6a"
329,"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer6b"
330,"Cingulate cortex, area 29b (Retrosplenial granular cortex b)"
331,"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer1"
332,"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer2/3"
333,"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer5"
334,"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer6a"
335,"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer6b"
336,"Cingulate cortex, area 29a (Retrosplenial granular cortex a)"
337,"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer1"
338,"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer2/3"
339,"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer5"
340,"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer6a"
341,"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer6b"
342,parietal association cortex
349,Medial parietal association cortex
350,"Medial parietal association cortex, layer 1"
351,"Medial parietal association cortex, layer 2/3"
352,"Medial parietal association cortex, layer 4"
353,"Medial parietal association cortex, layer 5"
354,"Medial parietal association cortex, layer 6a"
355,"Medial parietal association cortex, layer 6b"
356,Lateral parietal association cortex
357,"Lateral parietal association cortex, layer 1"
358,"Lateral parietal association cortex, layer 2/3"
359,"Lateral parietal association cortex, layer 4"
360,"Lateral parietal association cortex, layer 5"
361,"Lateral parietal association cortex, layer 6a"
362,"Lateral parietal association cortex, layer 6b"
363,"parietal cortex, posterior area, dorsal part"
364,"Parietal cortex, posterior area, dorsal part, layer1"
365,"Parietal cortex, posterior area, dorsal part, layer2/3"
366,"Parietal cortex, posterior area, dorsal part, layer4"
367,"Parietal cortex, posterior area, dorsal part, layer5"
368,"Parietal cortex, posterior area, dorsal part, layer6a"
369,"Parietal cortex, posterior area, dorsal part, layer6b"
370,Temporal association cortex
371,"Temporal association cortex, layer1"
372,"Temporal association cortex, layer2/3"
373,"Temporal association cortex, layer4"
374,"Temporal association cortex, layer5"
375,"Temporal association cortex, layer6a"
376,"Temporal association cortex, layer6b"
377,Perihinal cortex
378,"Perihinal cortex, layer6a"
379,"Perihinal cortex, layer6b"
380,"Parietal cortex, posterior area, rostral part"
381,"Parietal cortex, posterior area, rostral part, layer1"
382,"Parietal cortex, posterior area, rostral part, layer2/3"
383,"Parietal cortex, posterior area, rostral part, layer4"
384,"Parietal cortex, posterior area, rostral part, layer5"
385,"Parietal cortex, posterior area, rostral part, layer6a"
386,"Parietal cortex, posterior area, rostral part, layer6b"
387,"Perihinal cortex, layer1"
388,"Perihinal cortex, layer5"
389,"Perihinal cortex, layer2/3"
390,Ectorhinal cortex
391,"Ectorhinal cortex, layer1"
392,"Ectorhinal cortex, layer2/3"
393,"Ectorhinal cortex, layer5"
394,"Ectorhinal cortex, layer6a"
395,"Ectorhinal cortex, layer6b"
396,Olfactory areas
397,Main olfactory bulb
398,Glomerular layer of the olfactory bulb
399,Granule cell layer of the olfactory bulb
400,Internal plxiform layer of the olfactory bulb
401,Mitral cell layer of the olfactory bulb
402,External plexiform layer of the olfactory bulb
403,Accessory olfactory bulb
404,Glomerular layer of the accessory olfactory bulb
405,Granule cell layer of the accessory olfactory bulb
406,Mitral cell layer of the accessory olfactory bulb
407,External plexiform layer of the accessory olfactory b
408,Anterior olfactory area
409,Anterior olfactory area dorsal part
410,Anterior olfactory area external part
411,Anterior olfactory area lateral part
412,Anterior olfactory area medial part
413,"Anterior olfactory area, posteroventral part"
414,"Anterior olfactory area, ventral part"
415,"Anterior olfactory area, posterior part"
416,Anterior olfactory area layer 1
417,Anterior olfactory area layer 2
418,Taenia tecta
419,Dorsal tenia tecta
420,"Dorsal tenia tecta, layer 1"
421,"Dorsal tenia tecta, layer 2"
422,"Dorsal tenia tecta, layer 3"
423,"Dorsal tenia tecta, layer 4"
424,Ventral tenia tecta
425,"Ventral tenia tecta, layer 1"
426,"Ventral tenia tecta, layer 2"
427,"Ventral tenia tecta, layer 3"
428,"Cingulate cortex, area 25 (dorsal peduncular cortex)"
429,"Cingulate cortex, area 25 (dorsal peduncular cortex), layer1"
430,"Cingulate cortex, area 25 (dorsal peduncular cortex), layer2"
431,"Cingulate cortex, area 25 (dorsal peduncular cortex), layer2/3"
432,"Cingulate cortex, area 25 (dorsal peduncular cortex), layer5"
433,"Cingulate cortex, area 25 (dorsal peduncular cortex), layer6a"
434,Dorsal transition zone
435,Piriform cortex
436,Piriform cortex 1
437,Piriform cortex 2
438,Piriform cortex 3
439,Cortex-amygdala transition zone
440,Cortex-amygdala transition zone Layer1
441,Cortex-amygdala transition zone Layer2
442,Cortex-amygdala transition zone Layer3
443,Nucleus of the lateral olfactory tract
444,Nucleus of the lateral olfactory tract 1
445,Nucleus of the lateral olfactory tract 2
446,Nucleus of the lateral olfactory tract 3
447,cortical amygdaloid nucleus
448,Anterior cortical amygdaloid nucleus
449,"Anterior cortical amygdaloid nucleus, layer1"
450,"Anterior cortical amygdaloid nucleus, layer2"
451,"Anterior cortical amygdaloid nucleus, layer3"
452,Posterior cortical amygdaloid area
453,Posterolateral cortical amygdaloid area
454,Posterolateral cortical amygdaloid area 1
455,Posterolateral cortical amygdaloid area 2
456,Posterolateral cortical amygdaloid area 3
457,Posteromedial cortical amygdaloid area
458,Posteromedial cortical amygdaloid area 1
459,Posteromedial cortical amygdaloid area 2
460,Posteromedial cortical amygdaloid area 3
461,Rostral amygdalopiriform area
462,Rostral amygdalopiriform area 1
463,Rostral amygdalopiriform area 2
464,Rostral amygdalopiriform area 3
465,Amygdalopiriform transition area
466,"Postpiriform transition area, layers 1"
467,"Postpiriform transition area, layers 2"
468,"Postpiriform transition area, layers 3"
469,Hippocampal formation
470,Hippocampal region
471,"'""Ammon''s horn""'"
472,Field CA1 of the hippocampus
473,Field CA1 of the hippocampus- lacunosum moleculare layer of the hippocampus
474,Field CA1 of the hippocampus- oriens layer of the hippocampus
475,Field CA1 of the hippocampus- pyramidal layer of the hippocampus
476,Field CA1 of the hippocampus- radiatum layer of the hippocampus
477,Field CA2 of the hippocampus
478,Field CA2 of the hippocampus- lacunosum moleculare layer of the hippocampus
479,Field CA2 of the hippocampus- oriens layer of the hippocampus
480,Field CA2 of the hippocampus- pyramidal layer of the hippocampus
481,Field CA2 of the hippocampus- radiatum layer of the hippocampus
482,Field CA3 of the hippocampus
483,Field CA3 of the hippocampus- lacunosum moleculare layer of the hippocampus
484,Field CA3 of the hippocampus- stratum lucidum of the hippocampus
485,Field CA3 of the hippocampus- oriens layer of the hippocampus
486,Field CA3 of the hippocampus- pyramidal layer of the hippocampus
487,Field CA3 of the hippocampus- radiatum layer of the hippocampus
488,Dentate gyrus
489,Molecular layer of the dentate gyrus
490,Polymorph layer of the dentate gyrus
491,Granule cell layer of the dentate gyrus
505,Fasciola cinereum
506,Induseum griseum
507,Retrohippocampal region
508,Entorhinal area
509,Dorsolateral entorhinal cortex
510,"Dorsolateral entorhinal cortex, layer 1"
511,"Dorsolateral entorhinal cortex, layer 2"
512,"Dorsolateral entorhinal cortex, layer 2/3"
513,"Dorsolateral entorhinal cortex, layer 2a"
514,"Dorsolateral entorhinal cortex, layer 2b"
515,"Dorsolateral entorhinal cortex, layer 3"
516,"Dorsolateral entorhinal cortex, layer 4"
517,"Dorsolateral entorhinal cortex, layer 4/5"
518,"Dorsolateral entorhinal cortex, layer 5"
519,"Dorsolateral entorhinal cortex, layer 5/6"
520,"Dorsolateral entorhinal cortex, layer 6a"
521,"Dorsolateral entorhinal cortex, layer 6b"
522,Dorsal intermediate entorhinal cortex
523,"Dorsal intermediate entorhinal cortex, layer 1"
524,"Dorsal intermediate entorhinal cortex, layer 2"
525,"Dorsal intermediate entorhinal cortex, layer 2a"
526,"Dorsal intermediate entorhinal cortex, layer 2b"
527,"Dorsal intermediate entorhinal cortex, layer 2/3"
528,"Dorsal intermediate entorhinal cortex, layer 3"
529,"Dorsal intermediate entorhinal cortex, layer 4"
530,"Dorsal intermediate entorhinal cortex, layer 5"
531,"Dorsal intermediate entorhinal cortex, layer 5/6"
532,"Dorsal intermediate entorhinal cortex, layer 6"
533,Ventral intermediate entorhinal cortex
534,"Ventral intermediate entorhinal cortex, layer 1"
535,"Ventral intermediate entorhinal cortex, layer 2"
536,"Ventral intermediate entorhinal cortex, layer 3"
537,"Ventral intermediate entorhinal cortex, layer 4"
538,"Ventral intermediate entorhinal cortex, layer 5/6"
539,Medial entorhinal cortex
540,"Medial entorhinal cortex, layer 1"
541,"Medial entorhinal cortex, layer 2"
542,"Medial entorhinal cortex, layer 3"
543,"Medial entorhinal cortex, layer 5"
544,"Medial entorhinal cortex, layer 6"
545,Caudomedial entothinal cortex
546,"Caudomedial entothinal cortex, layer 1"
547,"Caudomedial entothinal cortex, layer 2"
548,"Caudomedial entothinal cortex, layer 3"
549,"Caudomedial entothinal cortex, layer 5"
550,"Caudomedial entothinal cortex, layer 6"
551,Parasubiculum
552,"Parasubiculum, layer 1"
553,"Parasubiculum, layer 2"
554,"Parasubiculum, layer 3"
555,Postsubiculum
556,"Postsubiculum, layer 1"
557,"Postsubiculum, layer 2"
558,"Postsubiculum, layer 3"
559,Presubiculum
560,"Presubiculum, layer 1"
561,"Presubiculum, layer 2"
562,"Presubiculum, layer 3"
563,Subiculum
564,Dorsal subiculum
565,"Dorsal subiculum, molecular layer"
566,"Dorsal subiculum, pyramidal layer"
567,"Dorsal subiculum, stratum radiatum"
568,Ventral subiculum
569,"Ventral subiculum, molecular layer"
570,"Ventral subiculum, pyramidal layer"
571,"Ventral subiculum, stratum radiatum"
572,"Subiculum, transition area"
573,"Subiculum, transition area, molecular layer"
574,"Subiculum, transition area, pyramidal layer"
575,"Subiculum, transition area, stratum radiatum"
576,Cortical subplate
577,"Layer 6b, isocortex"
578,Claustrum
579,Dorsal claustrum
580,Ventral claustrum
581,Endopiriform nucleus
582,Dorsal endopiriform nucleus
583,Ventral endopiriform nucleus
584,Intermediate endopiriform claustrum
585,Retroendopiriform nucleus 
586,Lateral amygdaloid nucleus
587,"Lateral amygdaloid nucleus, dorsolateral part"
588,"Lateral amygdaloid nucleus, ventrolateral part"
589,"Lateral amygdaloid nucleus, ventromedial part"
590,Basolateral amygdalar nucleus
591,"Basolateral amygdaloid nucleus, anterior part"
592,"Basolateral amygdaloid nucleus, posterior part"
593,"Basolateral amygdaloid nucleus, ventral part"
594,Basomedial amygdalar nucleus
595,"Basomedial amygdaloid nucleus, anterior part"
596,"Basomedial amygdaloid nucleus, posterior part"
597,Amygdalohippocampal area
598,"Amygdalohippocampal area, anterolateral part"
599,"Amygdalohippocampal area, posteromedial part"
600,"Amygdalohippocampal area, posterolateral"
601,Cerebral nuclei
602,Striatum
603,Striatum dorsal region
604,Caudate Putamen 
605,Striatum ventral region
606,Accumbens nucleus
607,Interstitial nucleus of the posterior limb of the anterior commissure
608,"Interstitial nucleus of the posterior limb of the anterior commissure, medial part"
609,"Interstitial nucleus of the posterior limb of the anterior commissure, lateral part"
610,Olfactory tubercle
611,Island of Calleja
612,Olfactory tubercle 1 
613,Olfactory tubercle 2
614,Olfactory tubercle 3
615,Navicular nucleus of the basal forebrain
616,Lateral septal complex
617,Lateral septal nucleus
618,"Lateral septal nucleus, dorsal part"
619,"Lateral septal nucleus, intermediate part"
620,"Lateral septal nucleus, ventral part"
621,Zona limitans
622,Septofimbrial nucleus
623,Septohippocampal nucleus
624,Septohypothalamic nucleus
625,Striatum-like amygdalar nuclei
626,Anterior amygdaloid area
627,Bed nucleus of the accessory olfactory tract
628,Central amygdalar nucleus
629,"Central amygdaloid nucleus, capsular part"
630,"Central amygdaloid nucleus, lateral part"
631,"Central amygdaloid nucleus, medial part"
632,Intercalated nuclei of the amygdala
633,"Intercalated amygdalar nucleus, main part"
634,Medial amygdaloid nucleus
635,"Medial amygdaloid nucleus, anterodorsal part"
636,"Medial amygdaloid nucleus, anterventral part"
637,"Medial amygdaloid nucleus, posterodorsal part"
641,"Medial amygdaloid nucleus, posteroventral part"
642,Pallidum
644,Globus pallidus
645,Entopeduncular nucleus
646,Ventral pallidum
647,Substantia innominata
648,"Substantia innominata, basal part"
649,Extension of the amygdala
650,Cell bridges of the ventral striatum
651,Magnocellular nucleus
652,Basal nucleus (Meynert)
653,"Pallidum, medial region"
654,Medial septal complex
655,Medial septal nucleus
656,Lambdoid septal zone
657,Diagonal band nucleus
658,Nucleus of the vertical limb of the diagonal band
659,Lateral nucleus of the diagnoal band
660,Nucleus of the horizontal limb of the diagonal band
661,Triangular septal nucleus
662,"Pallidum, caudal region"
663,Nucleus of stria medullaris
664,Bed nuclei of the stria terminalis
665,"Bed nuclei of the stria terminalis, anterior division"
666,"Bed nucleus of the stria terminalis, medial division, anterolateral part"
667,"Bed nucleus of the stria terminalis, medial division, anterior part"
669,"Bed nuclei of the stria terminalis, fusiform nucleus"
670,"Bed nucleus of the stria terminalis, lateral division, juxtacapsular part"
672,"Bed nucleus of the stria terminalis, lateral division, dorsal part"
674,"Bed nucleus of the stria terminalis, medial division, posterolateral part"
675,"Bed nuclei of the stria terminalis, medial division"
676,"Bed nucleus of the stria terminalis, medial division, ventral part"
677,"Bed nucleus of the stria terminalis, medial division, posteromedial part"
678,"Bed nuclei of the stria terminalis, posterior division"
680,"Bed nucleus of the stria terminalis, medial division, anteromedial part"
681,"Bed nucleus of the stria terminalis, medial division, posterointermediate part"
684,"Bed nuclei of the stria terminialis, lateral division"
